OTL ID,Title,Copyright Year,Contributors,Publisher,Description,License,library URL,Subject 1,Subject 2,
15,Exploring Business,2016,,University of Minnesota Libraries Publishing,"The author's goals in writing Exploring Business Version 2.0 was simple: introduce students to business in an exciting way. Exploring Business is adapted from a work produced by a publisher who has requested that they and the original author not receive attribution. This adapted edition is produced by the University of Minnesota Libraries Publishing through the eLearning Support Initiative. Though the publisher has requested that they and the original author not receive attribution, this adapted edition reproduces all original text and sections of the book, except for publisher and author name attribution. This textbook has been used in classes at: College of Alameda, Columbia Basin College, Flagler College, Johnson County Community College, Pasadena City College, Penn State University, Renton Technical College, San Diego Mesa College, Sierra College, Yuba College.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/exploring-business,Business - Management,,
16,Information Systems - A Manager's Guide to Harnessing Technology,2015,,University of Minnesota Libraries Publishing,"Information Systems: A Manager's Guide to Harnessing Technology is intended for use in undergraduate and/or graduate courses in Management Information Systems and Information Technology. The teaching approach in Information Systems: A Manager's Guide to Harnessing Technology can change this. The text offers a proven approach that has garnered student praise, increased IS enrollment, and engaged students to think deeper and more practically about the space where business and technology meet. Every topic is related to specific business examples, so students gain an immediate appreciation of its importance. Rather than lead with technical topics, the book starts with strategic thinking, focusing on big-picture issues that have confounded experts but will engage students. And while chapters introduce concepts, cases on approachable, exciting firms across industries further challenge students to apply what they've learned, asking questions like: Why was Netflix able to repel Blockbuster and WalMart? How did Harrah's Casino's become twice as profitable as comparably-sized Caesar's, enabling the former to acquire the latter? How does Spain's fashion giant Zara, a firm that shuns the sort of offshore manufacturing used by every other popular clothing chain, offer cheap fashions that fly off the shelves, all while achieving growth rates and profit margins that put Gap to shame? Why do technology markets often evolve into winner-take-all or winner take-most scenarios? And how can managers compete when these dynamics are present? Why is Google more profitable than Disney? How much is Facebook really worth? The teaching approach in this text encourages students to think deeper and more practically about the space where business and technology meet. Every topic is related to specific business examples, so students gain an immediate appreciation of its importance. Rather than starting with technical topics, the book starts with strategic thinking, focusing on big-picture issues that interest students.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/information-systems-a-manager-s-guide-to-harnessing-technology,Computer Science,,
18,International Finance: Theory and Policy,2010,Steve Suranovic - Author,Saylor Foundation,"International Finance Theory and Policy is built on Steve Suranovic's belief that to understand the international economy, students need to learn how economic models are applied to real world problems. It is true what they say, that ”economists do it with models.“ That's because economic models provide insights about the world that are simply not obtainable solely by discussion of the issues. International Finance Theory and Policy develops a unified model of the international macroeconomy. The text provides detailed descriptions of major macroeconomic variables, covers the interest rate parity and purchasing power parity theories of exchange rate determination, takes an exhaustive look at the pros and cons of trade imbalances and presents the well-known AA-DD model to explore the effects of fiscal and monetary policy under both fixed and flexible exchange rates. The models are developed, not by employing advanced mathematics, but rather by walking students through a detailed description of how a model's assumptions influence its conclusions. But more importantly, each model and theory is connected to real world policy issues. The Finance Text has the following unique features: o Begins with an historical overview of the international macroeconomy to provide context for the theory. o Concludes with a detailed discussion of the pros and cons of fixed and floating exchange rate systems. o Provides an extensive look at the issue of trade imbalances. Readers learn techniques to evaluate whether a country's trade deficit (or surplus) is dangerous, beneficial, or benign. o Explains how purchasing power parity is used to make cross country income comparisons. o Offers clear detailed explanations of the AA-DD model. o Applies the AA-DD model to understand the effects of monetary and fiscal policy on GDP, the exchange rate, and the trade balance. International Finance Theory and Policy by Steve Suranovic is intended for a one-semester course in International Finance. After March 2010, you can check out the entire book online or request a desk copy.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/international-finance-theory-and-policy,Business - Finance,,
19,International Trade: Theory and Policy,2010,Steve Suranovic - Author,Saylor Foundation,"International Trade: Theory and Policy is built on Steve Suranovic's belief that to understand the international economy, students need to learn how economic models are applied to real world problems. It is true what they say, that ”economists do it with models.“ That's because economic models provide insights about the world that are simply not obtainable solely by discussion of the issues. International Trade: Theory and Policy presents a variety of international trade models including the Ricardian model, the Heckscher-Ohlin model, and the monopolistic competition model. It includes trade policy analysis in both perfectly competitive and imperfectly competitive markets. The text also addresses current issues such as free trade area formation and administered protection policies. The models are developed, not by employing advanced mathematics, but rather by walking students through a detailed description of how a model's assumptions influence its conclusions. But more importantly, each model and theory is connected to real world policy issues. The main purpose of the text is to provide a thorough grounding in the arguments concerning the age-old debate about free trade versus protectionism. This text has the following unique features: The text begins with an historical overview of trade policy issues to provide context for the theory. The text concludes with a detailed economic argument supporting free trade.The welfare analysis in the Ricardian, Heckscher-Ohlin and specific factors models emphasize the redistributive effects of free trade by calculating changes in real incomes.The trade policy chapter provides a comprehensive look at many more trade policies than are found in a printed textbook. A chapter about domestic policies contains an evaluation of domestic taxes and subsidies that are often ignored in traditional trade textbooks but are increasingly important as large countries complain more about each other's domestic agriculture policies and labor and environmental policies. The text uses the theory of the second-best to explain why protection can improve national welfare. This well-known theoretical result is rarely presented as methodically and consistently as it is in this text. International Trade: Theory and Policy by Steve Suranovic is intended for a one-semester course in International Trade. After April 2010, you can check out the entire book online or request a desk copy.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/international-trade-theory-and-policy,Social Sciences - Economics,,
20,Introduction to Physical Oceanography,2008,Robert H. Stewart - Author,,"This textbook covers physical-oceanographic processes, theories, data, and measurements, targeted at upper-division undergraduates and graduate students in oceanography, meteorology, and ocean engineering. In addition to the classical topics, the author includes discussions of heat fluxes, the role of the ocean in climate, the deep circulation, equatorial processes including El Nino, data bases used by oceanographers, the role of satellites and data from space, ship-based measurements, and the importance of vorticity in understanding oceanic flows. Students should have studied differential equations and introductory college physics, although math is de-emphasized.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/introduction-to-physical-oceanography,Natural Sciences - Earth Sciences,,
21,Introduction to Probability,1997,Charles M. Grinstead - Author / J. Laurie Snell - Author,American Mathematical Society,"Probability theory began in seventeenth century France when the two great French mathematicians, Blaise Pascal and Pierre de Fermat, corresponded over two problems from games of chance. Problems like those Pascal and Fermat solved continuedto influence such early researchers as Huygens, Bernoulli, and DeMoivre in establishing a mathematical theory of probability. Today, probability theory is a wellestablished branch of mathematics that finds applications in every area of scholarlyactivity from music to physics, and in daily experience from weather prediction topredicting the risks of new medical treatments. This text is designed for an introductory probability course taken by sophomores,juniors, and seniors in mathematics, the physical and social sciences, engineering,and computer science. It presents a thorough treatment of probability ideas andtechniques necessary for a form understanding of the subject. The text can be usedin a variety of course lengths, levels, and areas of emphasis. For use in a standard one-term course, in which both discrete and continuousprobability is covered, students should have taken as a prerequisite two terms ofcalculus, including an introduction to multiple integrals. In order to cover Chapter 11, which contains material on Markov chains, some knowledge of matrix theoryis necessary. The text can also be used in a discrete probability course. The material has beenorganized in such a way that the discrete and continuous probability discussions arepresented in a separate, but parallel, manner. This organization dispels an overlyrigorous or formal view of probability and o?ers some strong pedagogical valuein that the discrete discussions can sometimes serve to motivate the more abstractcontinuous probability discussions. For use in a discrete probability course, studentsshould have taken one term of calculus as a prerequisite. Very little computing background is assumed or necessary in order to obtain fullbenefits from the use of the computing material and examples in the text. All ofthe programs that are used in the text have been written in each of the languagesTrueBASIC, Maple, and Mathematica.",Free Documentation License (GNU),https://open.umn.edu/opentextbooks/textbooks/introduction-to-probability,Mathematics - Applied,Engineering & Technology,
22,Introductory Chemistry,2011,David W. Ball - Author,Saylor Foundation,"David W. Ball of Cleveland State University brings his new survey of general chemistry text, Introductory Chemistry, to the market with a fresh theme that will be sure to hold student interest: ""Chemistry is Everywhere."" Introductory Chemistry is intended for a one-semester introductory or preparatory chemistry course. Throughout the chapters, David presents two features that reinforce the theme of the textbook, that chemistry is everywhere. The first is the boxed feature titled, appropriately, ”Chemistry is Everywhere“. This feature takes a topic of the chapter and demonstrates how this topic shows up in everyday life. In the introductory chapter, ”Chemistry is Everywhere“ focuses on the personal hygiene products that students may use every morning: toothpaste, soap, shampoo among others. These products are chemicals, aren't they? This book explores some of the chemical reactions like the ones that give students clean and healthy teeth, and shiny hair. This feature makes it clear to students that chemistry is, indeed, everywhere, and it will promote student retention in what is sometimes considered an intimidating course. The second boxed feature focuses on chemistry that students likely indulge in every day: eating and drinking. In the ”Food and Drink App“, David discusses how the chemistry of the chapter applies to things that students eat and drink every day. Carbonated beverages depend on the behavior of gases, foods contain acids and bases, and everyone actually eats certain rocks. (Yikes!) Cooking, eating, drinking, metabolism — all chemical processes students are involved with all the time. These features allow students to see the things we interact with every day in a new light — as chemistry. Just like many of the one-semester chemistry books you may be used to, each section in David Ball's starts with one or more Learning Objectives, which list the main points of the section. Each section ends with Key Takeaways, which are reviews of the main points of the section. Each chapter is full of examples to illustrate the key points of the materials, and each example is followed with a similar ”Test Yourself“ exercise to see if the student understands the concept. Each section ends with its own set of paired exercises to practice the material from that section, and each chapter ends with a section of ”Additional Exercises“ that are more challenging or require multiple steps or skills to answer. David took the time to treat mathematical problems in Introductory Chemistry one of two ways, either as a conversion-factor problem or as a formula problem. David believes having two basic mathematical approaches (converting and formulas) allows the text to focus on the logic of the approach and not tricks or shortcuts; which speaks to the final point about Introductory Chemistry. You'll notice that David took no shortcuts with the material in this text, his inviting writing style, concise approach, consistent presentation, and interesting pedagogy have given it some of the best peer reviews we've seen at Flat World. So, order a desk copy or dive in now to see for yourself.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/introductory-chemistry,Natural Sciences - Chemistry,,
23,Launch! Advertising and Promotion in Real Time,2009,Michael Solomon - Author / Lisa Duke Cornell - Author / Amit Nizan - Author,Saylor Foundation,"Launch! Advertising and Promotion is written for advertising and promotion courses taught to students in the business school and journalism & mass communication students. This textbook is the first of its kind to teach advertising concepts by reverse engineering a real advertising campaign from beginning to end. In April 2007, SS+K, an innovative New York City communications agency, launched the first ever branding campaign for msnbc.com with the tag ""A Fuller Spectrum of News."" Launch! follows that campaign from initial agency pitch through roll-out of print and media assets to post-campaign analysis. Throughout, it exposes readers to the theory and concepts of advertising and promotion, and the personalities and decisions that drove this campaign. The book takes a rare look ”behind the curtain“ — even letting you see some of the paths not chosen by the agency and client. Students get a realistic sense of how theory plays out in practice, and get a flavor for the exciting field of advertising and promotion. And, they consistently learn the perspectives of both the advertising agency (where many journalism and communications students will work) and the client (where many marketing majors will work). This is a unique book, with a unique perspective, by a unique author team, and you won't find this kind of insight in any other text on the market. We think you're going to love it! This textbook has been used in classes at: Ball State University, Emerson College, Florida Institute of Technology, Grand Valley State University, Johnson County Community College, Manchester Business School, McLennan Community College, Michigan State University, North Hennepin Community College, Pierce College, Rochester Institute of Technology, Saint Louis University, Salem State College, South Dakota State University, Texas State University, Texas Tech University, University of New Hampshire, University of North Carolina, University of Notre Dame, University of South Florida, Virginia Tech, Western Kentucky University.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/launch-advertising-and-promotion-in-real-time,Business - Marketing,,
24,Linear Algebra,2016,Jim Hefferon - Author,Jim Hefferon,"This text covers the standard material for a US undergraduate first course: linear systems and Gauss's Method, vector spaces, linear maps and matrices, determinants, and eigenvectors and eigenvalues, as well as additional topics such as introductions to various applications. It has extensive exercise sets with worked answers to all exercises, including proofs, beamer slides for classroom use, and a lab manual for computer work. The approach is developmental. Although everything is proved, it introduces the material with a great deal of motivation, many computational examples, and exercises that range from routine verifications to a few challenges. Ancillary materials are available at the publisher link.",Attribution-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/linear-algebra,Mathematics,Mathematics - Pure,
28,Microeconomics: Theory Through Applications,2011,Russell Cooper - Author / Andrew John - Author,Saylor Foundation,"Russell Cooper and Andrew John have written an economics text aimed directly at students from its very inception. You're thinking, ”Yeah, sure. I've heard that before.“ This textbook, Microeconomics: Theory Through Applications, centers around student needs and expectations through two premises: … Students are motivated to study economics if they see that it relates to their own lives. … Students learn best from an inductive approach, in which they are first confronted with a problem, and then led through the process of solving that problem. Many books claim to present economics in a way that is digestible for students; Russell and Andrew have truly created one from scratch. This textbook will assist you in increasing students' economic literacy both by developing their aptitude for economic thinking and by presenting key insights about economics that every educated individual should know. How? Russell and Andrew have done three things in this text to accomplish that goal: 1. Applications Ahead of Theory: They present all the theory that is standard in Principles books. But by beginning with applications, students get to learn why this theory is needed. The authors take the kind of material that other authors put in ”applications boxes“ and place it at the heart of their book. Each chapter is built around a particular business or policy application, such as minimum wages, the stock exchange, and auctions. Why take this approach? Traditional courses focus too much on abstract theory relative to the interests and capabilities of the average undergraduate. Students are rarely engaged and the formal theory is never integrated into the way students think about economic issues. And traditional books are organized around theoretical constructs that mean nothing to students. The authors' applications-first approach ensures that students will not see chapters with titles like ”Cost Functions“ or ”Short-Run Fluctuations“. They introduce tools and ideas as and when they are needed. Each chapter is designed with two goals. First, the application upon which the chapter is built provides a ”hook“ that gets students' attention. Second, the application is a suitable vehicle a vehicle for teaching the principles of economics. 2. Learning through Repetition: Important tools appear over and over again, allowing students to learn from repetition and to see how one framework can be useful in many different contexts. Each piece of economic theory in this text is first introduced and explained in the context of a specific application. Most are re-used in other chapters, so students see them in action on multiple occasions. As students progress through the book, they accumulate a set of techniques and ideas. These are collected separately in a ”toolkit“ that provides students with an easy reference and also gives them a condensed summary of economic principles for examination preparation. 3. A Student's Table of Contents vs. An Instructor's Table of Contents: There is no further proof that Russell and Andrew have created a book aimed specifically at educating students about economics than their two tables of contents. The Student's Table of Contents speaks to students, piquing their interest to involve them in the economics, and a Instructor's Table of Contents with the economics to better help you organize your teaching—and frankly, you don't need to get excited by economics, you already are.",Attribution-NonCommercial-ShareAlike,https://open.umn.edu/opentextbooks/textbooks/microeconomics-theory-through-applications,Social Sciences - Economics,,
